utente/$/$/hotel,b

Kenneth/$/$/Holiday Inn Express & Suites Phoenix Downtown - Ballpark,0.06

Kenneth/$/$/Anglers Inn,0.1

Kenneth/$/$/Hyatt Place Pittsburgh Cranberry,0.06

Kenneth/$/$/Ip Casino Resort Spa,0.05

Kenneth/$/$/Simpson House Inn,0.0

Kenneth/$/$/Inn At Mendenhall,0.08

Kenneth/$/$/Hampton Inn Dublin,0.06

Kenneth/$/$/Fiesta Inn and Suites,0.16

Kenneth/$/$/Microtel Inn and Suites By Wyndham Burlington,0.09

Kenneth/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.0

Kenneth/$/$/Lamothe House,0.06

Kenneth/$/$/Drury Inn and Suites Columbus Convention Center,0.0

Kenneth/$/$/La Quinta Inn and Suites Meridian,0.09

Courtney/$/$/Super 8 Pittsburgh/monroeville,0.09

Courtney/$/$/Fort Conde Inn,0.0

Courtney/$/$/The Westin Europa and Regina,0.06

Courtney/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Courtney/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.05

Gilmar/$/$/Super 8 Pittsburgh/monroeville,0.0

Donald/$/$/Super 8 Pittsburgh/monroeville,0.06

"Donald/$/$/The Alexandrian, Autograph Collection",0.07

Donald/$/$/Baymont Inn and Suites Enid,0.12

Donald/$/$/Days Inn & Suites Castle Rock,0.12

Donald/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.09

Donald/$/$/Americas Best Value Inn,0.11

Donald/$/$/Hyatt Place Utica,0.1

Donald/$/$/Plaza Hotel and Casino - Las Vegas,0.09

Donald/$/$/Jacksonville Plaza Hotel and Suites,0.06

Donald/$/$/Red Rest Inn,0.08

Donald/$/$/Days Inn West Memphis,0.1

Donald/$/$/Fairfield Inn Saginaw,0.01

Donald/$/$/Quality Suites Intercontinental Airport West,0.09

Donald/$/$/Fairfield Inn and Suites By Marriott Plainville,0.09

Donald/$/$/Comfort Inn Birmingham - Irondale,0.1

Donald/$/$/Travelodge Anaheim Convention Center,0.33

Donald/$/$/Best Western Plus Kelly Inn,0.47

Donald/$/$/Super 8 Blackwell Ok,0.06

Donald/$/$/Super 8 Belle Fourche,0.1

Donald/$/$/Super 8 Fort Collins,0.06

Donald/$/$/Super 8 Kansas City Airport,0.17

Donald/$/$/Wingate By Wyndham Pueblo,0.5

Donald/$/$/Sleep Inn At Harbour View,0.06

Donald/$/$/Comfort Suites,0.04

Donald/$/$/Holiday Inn Express San Clemente,0.0

Donald/$/$/Knights Inn Carmel Hill,0.15

Donald/$/$/Cherokee Lodge Bed and Breakfast,0.07

Donald/$/$/Residence Inn By Marriott Deptford,0.05

Donald/$/$/Holiday Inn Express Hotel and Suites Meadowlands Area,0.07

Gopalan/$/$/Super 8 Pittsburgh/monroeville,0.13

Atiya/$/$/Super 8 Pittsburgh/monroeville,0.0

Johnathon B./$/$/Motel 6,0.0

Gawanda S./$/$/Motel 6,0.0

Patti D./$/$/Cadillac Motel,0.0

Mohsin/$/$/Hyatt Regency Kathmandu,0.29

Hassan/$/$/Hyatt Regency Kathmandu,0.08

Hassan/$/$/Hotel Roc Lago Rojo,0.38

Davide/$/$/Hyatt Regency Kathmandu,0.0

Davide/$/$/Una Hotel Forte Dei Marmi,0.23

Khurram/$/$/Hyatt Regency Kathmandu,0.21

Hadla/$/$/Hyatt Regency Kathmandu,0.25

Artur/$/$/Hyatt Regency Kathmandu,0.0

Artur/$/$/Greenstay Hotel and Suites,0.22

Sharhabeel/$/$/Hyatt Regency Kathmandu,0.83

Venkata/$/$/Hyatt Regency Kathmandu,0.12

Mohd/$/$/Hyatt Regency Kathmandu,0.08

Hozaifa/$/$/Hyatt Regency Kathmandu,0.0

Happy/$/$/Hyatt Regency Kathmandu,0.35

Happy/$/$/Pelican Shores Inn,0.43

Binesh/$/$/Hyatt Regency Kathmandu,0.25

Sultan/$/$/Hyatt Regency Kathmandu,0.08

"Sultan/$/$/The Alexandrian, Autograph Collection",0.34

Chirine/$/$/Hyatt Regency Kathmandu,0.0

Eleni/$/$/Hyatt Regency Kathmandu,0.25

Paulo/$/$/Hyatt Regency Kathmandu,0.0

Paulo/$/$/Mercure Curitiba Golden Hotel,0.17

Dhruv/$/$/Hyatt Regency Kathmandu,0.16

Juliet/$/$/Hyatt Regency Kathmandu,0.0

Juliet/$/$/Cherry Orchard Inn,0.22

Juliet/$/$/Super 8 Bradenton Sarasota Area,0.18

Cristina/$/$/Hyatt Regency Kathmandu,0.0

Cristina/$/$/Excellence Riviera Cancun - Adults Only - All Inclusive,0.07

Cristina/$/$/Quinta Real Acapulco,0.09

Farah/$/$/Hyatt Regency Kathmandu,0.0

Farah/$/$/Best Western Plus French Quarter Landmark Hotel,0.0

Farah/$/$/Htel Sezz Paris,0.0

Ahmad/$/$/Hyatt Regency Kathmandu,0.08

Mohammad/$/$/Hyatt Regency Kathmandu,0.0

Mohammad/$/$/Hyatt Place Pittsburgh Cranberry,0.12

Mohammad/$/$/Microtel Inn By Wyndham Knoxville,0.18

Fahim/$/$/Hyatt Regency Kathmandu,0.16

Vera/$/$/Hyatt Regency Kathmandu,0.0

Vera/$/$/Ibis Wuerzburg City,0.44

Vera/$/$/Residence Inn By Marriott Deptford,0.08

Md/$/$/Hyatt Regency Kathmandu,0.16

Ravi/$/$/Hyatt Regency Kathmandu,0.33

Srinivasan/$/$/Hyatt Regency Kathmandu,0.0

Sanjay/$/$/Hyatt Regency Kathmandu,0.0

Sanjay/$/$/Ip Casino Resort Spa,0.17

Madhur/$/$/Hyatt Regency Kathmandu,0.16

Xavier/$/$/Hyatt Regency Kathmandu,0.0

Xavier/$/$/Htel Marinca and Spa,0.0

amit chopra/$/$/Hyatt Regency Kathmandu,0.29

Eman/$/$/Hyatt Regency Kathmandu,0.33

Wesal/$/$/Hyatt Regency Kathmandu,0.0

Dalia/$/$/Hyatt Regency Kathmandu,0.0

Dalia/$/$/Super 8 - Upland,0.23

Navin/$/$/Hyatt Regency Kathmandu,0.33

Florian55/$/$/Hyatt Regency Kathmandu,0.21

Sazel/$/$/Hyatt Regency Kathmandu,0.29

Randy R S/$/$/Mainsail Motel & Cottages,0.0

VTBrigade/$/$/Mainsail Motel & Cottages,0.0

Allison W/$/$/Mainsail Motel & Cottages,0.0

wecraven/$/$/Mainsail Motel & Cottages,0.0

Jerome S/$/$/Mainsail Motel & Cottages,0.0

Joelle B/$/$/Mainsail Motel & Cottages,0.0

cwins33/$/$/Mainsail Motel & Cottages,0.0

Steven S/$/$/Mainsail Motel & Cottages,0.0

Steven S/$/$/Days Inn Lincolnton,0.16

Timothy F/$/$/Mainsail Motel & Cottages,0.0

limiller/$/$/Mainsail Motel & Cottages,0.0

Kevin T/$/$/Mainsail Motel & Cottages,0.0

Sherryl G/$/$/Mainsail Motel & Cottages,0.0

paplante/$/$/Mainsail Motel & Cottages,0.0

momofthreeMontreal/$/$/Mainsail Motel & Cottages,0.0

MRD13/$/$/Mainsail Motel & Cottages,0.0

alpw/$/$/Mainsail Motel & Cottages,0.0

Jermaine Cooper/$/$/Fairfield Inn & Suites Peoria East,0.0

Edward Domain/$/$/Fairfield Inn & Suites Peoria East,0.1

Amanda Mathews/$/$/Fairfield Inn & Suites Peoria East,0.1

Amy Woolf/$/$/Fairfield Inn & Suites Peoria East,0.1

Dawn Skaggs/$/$/Fairfield Inn & Suites Peoria East,0.0

Joshua Davis/$/$/Fairfield Inn & Suites Peoria East,0.1

Patrick LeMaster/$/$/Fairfield Inn & Suites Peoria East,0.0

Jolena N/$/$/Fairfield Inn & Suites Peoria East,0.0

HeaNicole/$/$/Fairfield Inn & Suites Peoria East,0.0

James H/$/$/Fairfield Inn & Suites Peoria East,0.1

marshalnk/$/$/Fairfield Inn & Suites Peoria East,0.1

Greenreader/$/$/Fairfield Inn & Suites Peoria East,0.1

Randy D/$/$/Fairfield Inn & Suites Peoria East,0.0

Randy D/$/$/Super 8 Motel Fairmont,0.45

anonymousT8055BW/$/$/Fairfield Inn & Suites Peoria East,0.0

Monika C/$/$/Fairfield Inn & Suites Peoria East,0.0

Monika C/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.48

connysmom/$/$/Fairfield Inn & Suites Peoria East,0.1

Mark K/$/$/Fairfield Inn & Suites Peoria East,0.0

Mark K/$/$/Bay Shores Yachttennisclub 514 2 Br Condo By Redawning,0.0

Dez P/$/$/Fairfield Inn & Suites Peoria East,0.0

gunrunnerb5/$/$/Fairfield Inn & Suites Peoria East,0.1

rscoapy/$/$/Fairfield Inn & Suites Peoria East,0.0

Roy M/$/$/Fairfield Inn & Suites Peoria East,0.0

Maria F/$/$/Fairfield Inn & Suites Peoria East,0.0

RovingCOO/$/$/Fairfield Inn & Suites Peoria East,0.0

Lori W/$/$/Fairfield Inn & Suites Peoria East,0.1

ShareKhan4/$/$/Fairfield Inn & Suites Peoria East,0.0

James T./$/$/La Quinta,0.0

Cinthia/$/$/Holiday Inn Express and Suites Canyonville,0.0

clifton b/$/$/Holiday Inn Express and Suites Canyonville,0.0

janet/$/$/Holiday Inn Express and Suites Canyonville,0.49

janet/$/$/Amisos Hotel,0.0

janet/$/$/Howard Johnson Inn - Newburgh,0.31

janet/$/$/Comfort Suites,0.0

Ruben/$/$/Holiday Inn Express and Suites Canyonville,0.49

Ruben/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.07

Ruben/$/$/Super 8 - Upland,0.16

Ruben/$/$/Monterey Beach Dunes Inn,0.09

KELLy/$/$/Holiday Inn Express and Suites Canyonville,0.0

francois/$/$/Holiday Inn Express and Suites Canyonville,0.0

francois/$/$/Miramar Boutique Hotel,0.0

Billie/$/$/Holiday Inn Express and Suites Canyonville,0.49

lycos/$/$/Holiday Inn Express and Suites Canyonville,0.12

Sharon/$/$/Holiday Inn Express and Suites Canyonville,0.49

"Sharon/$/$/The Alexandrian, Autograph Collection",0.13

Sharon/$/$/Comfort Inn,0.12

Sharon/$/$/Ramada Vandalia,0.13

Sharon/$/$/Best Western Plus French Quarter Landmark Hotel,0.07

Sharon/$/$/Quality Inn and Suites,0.17

Sharon/$/$/Pelican Shores Inn,0.0

Sharon/$/$/Comfort Inn - Springfield,0.13

Sharon/$/$/Hotel Aura Sfo,0.21

Sharon/$/$/Best Western of Long Beach,0.11

Sharon/$/$/Fairfield Inn and Suites By Marriott Plainville,0.19

Sharon/$/$/Marriott's Mountainside At Park City,0.48

Sharon/$/$/Hampton Inn Sarasota - I-75 Bee Ridge,0.11

Sharon/$/$/Super 8 Batesville Ar,0.19

Sharon/$/$/Residence Inn By Marriott Hartford Downtown,0.12

Sharon/$/$/Garden of The Gods Club & Resort,0.06

Sharon/$/$/Holiday Inn Express - Hillsboro,0.18

Sharon/$/$/Red Roof Inn Erie,0.06

Sharon/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Sharon/$/$/Days Inn Lanham Washington Dc,0.16

Sharon/$/$/Candlewood Suites Eugene Springfield,0.0

Sharon/$/$/Holiday Inn Express San Clemente,0.08

Sharon/$/$/Fairfield Inn and Suites By Marriott Idaho Falls,0.21

Sharon/$/$/La Quinta Inn and Suites Meridian,0.4

Sharon/$/$/Econo Lodge Miles City,0.12

Sharon/$/$/Holiday Inn Victorville,0.16

Sean/$/$/Holiday Inn Express and Suites Canyonville,0.49

Sean/$/$/Comfort Inn,0.0

Sean/$/$/Parkside Inn At Incline,0.04

Sean/$/$/Microtel Inn By Wyndham Knoxville,0.03

Sean/$/$/Super 8 Belle Fourche,0.32

Sean/$/$/Towneplace Suites Albany University Area,0.02

Sean/$/$/La Quinta Inn Auburn Worcester,0.02

Sean/$/$/Dockers Inn,0.46

loan/$/$/Holiday Inn Express and Suites Canyonville,0.0

ReneeThorn/$/$/Solstice,0.0

Kristina M/$/$/Solstice,0.11

392carolynh/$/$/Solstice,0.0

Sharon L/$/$/Solstice,0.21

hhb324/$/$/Solstice,0.0

paula b/$/$/Solstice,0.0

Lynn S/$/$/Solstice,0.11

Kay H/$/$/Solstice,0.0

Beachbum32982/$/$/Solstice,0.0

Rebecca F/$/$/Solstice,0.0

Rebecca F/$/$/Travelodge Shakopee,0.0

Jobe M/$/$/Solstice,0.0

jeyhjs/$/$/Solstice,0.0

buckelisttraveler/$/$/Solstice,0.0

sunburntjim/$/$/Solstice,0.0

Pam B/$/$/Solstice,0.0

Pam B/$/$/Key West Inn - Clanton,0.0

Christine H/$/$/Solstice,0.11

doryfish95/$/$/Solstice,0.0

Dan P/$/$/Solstice,0.0

Jill R/$/$/Solstice,0.0

Ronald B/$/$/Solstice,0.21

Hockey M/$/$/Solstice,0.11

445rolf/$/$/Solstice,0.0

P J/$/$/Solstice,0.0

anwil/$/$/Solstice,0.11

Teena A/$/$/Solstice,0.0

Kevin N/$/$/Solstice,0.11

jason/$/$/Solstice,0.07

jason/$/$/Quality Inn and Suites,0.03

jason/$/$/Innisbrook,0.0

jason/$/$/Inturotel Esmeralda Park,0.0

wayne/$/$/Solstice,0.0

wayne/$/$/Parkside Inn At Incline,0.0

Corinne/$/$/Solstice,0.03

Corinne/$/$/Melia Paris Champs-elyses,0.0

Corinne/$/$/Towneplace Suites Albany University Area,0.0

Corinne/$/$/Best Western Silicon Valley Inn,0.0

Corinne/$/$/Elba Sara Beach & Golf Resort,0.0

Cherrie/$/$/Solstice,0.0

Chelsee F/$/$/Solstice,0.11

Thomas P/$/$/Solstice,0.0

Kirstin/$/$/Solstice,0.0

joe/$/$/Solstice,0.09

joe/$/$/Mountain Lodge At Telluride - A Noble House Resort,0.0

joe/$/$/Warwick Denver,0.05

joe/$/$/Gardena Terrace Inn,0.0

joe/$/$/Knights Inn Eau Claire,0.06

joe/$/$/Wingate By Wyndham Chantilly / Dulles Airport,0.0

joe/$/$/The Westin Buckhead,0.0

TROY/$/$/Solstice,0.0

doris/$/$/Solstice,0.16

doris/$/$/Holiday Inn Express - Hillsboro,0.08

Rebecca A/$/$/Solstice,0.0

Rebecca A/$/$/Americas Best Value Inn,0.0

Tami/$/$/Solstice,0.25

Tami/$/$/Pelican Shores Inn,0.0

Tami/$/$/Marriott's Mountainside At Park City,0.15

Tami/$/$/Microtel Inn and Suites By Wyndham Burlington,0.19

Tami/$/$/The Westin Buckhead,0.14

Assurity Steel/$/$/Solstice,0.11

Penny/$/$/Solstice,0.0

Penny/$/$/Jvd Hotels,0.0

mark a/$/$/Solstice,0.16

mark a/$/$/Hotel Deca - A Noble House Hotel,0.06

GLENDA/$/$/Solstice,0.0

garett/$/$/Solstice,0.11

Darrol/$/$/Solstice,0.0

Micki/$/$/Solstice,0.32

Deidra/$/$/Solstice,0.11

Dette/$/$/Solstice,0.21

eagleenterprisesus/$/$/Solstice,0.0

Serena/$/$/Solstice,0.0

tye/$/$/Solstice,0.0

Leo/$/$/Solstice,0.11

Leo/$/$/Wine Valley Lodge,0.45

Leo/$/$/Cherokee Lodge Bed and Breakfast,0.0

CHRISTOFOROS/$/$/The Grove Seaside Hotel,0.51

ANASTASIOS/$/$/The Grove Seaside Hotel,0.0

THODORIS/$/$/The Grove Seaside Hotel,0.0

STAVROULA/$/$/The Grove Seaside Hotel,0.0

NIKOLAOS/$/$/The Grove Seaside Hotel,0.0

Marie Odile/$/$/The Grove Seaside Hotel,0.0

Christiana/$/$/The Grove Seaside Hotel,0.0

"Tercio F/$/$/The Alexandrian, Autograph Collection",0.5

"cindy/$/$/The Alexandrian, Autograph Collection",0.0

cindy/$/$/Baymont Inn and Suites Enid,0.1

cindy/$/$/Hotel Aura Sfo,0.45

cindy/$/$/Western Inn-glacier Park,0.1

cindy/$/$/Holiday Inn Express & Suites West Monroe,0.03

"Lance/$/$/The Alexandrian, Autograph Collection",0.0

Lance/$/$/Quality Suites Intercontinental Airport West,0.03

Lance/$/$/Fairfield Inn & Suites Atlanta Perimeter Center,0.0

Lance/$/$/La Quinta Inn and Suites Meridian,0.03

"Krisztina/$/$/The Alexandrian, Autograph Collection",0.0

"Ghana/$/$/The Alexandrian, Autograph Collection",0.09

"amy/$/$/The Alexandrian, Autograph Collection",0.1

amy/$/$/Hyatt Place Pittsburgh Cranberry,0.15

"David B/$/$/The Alexandrian, Autograph Collection",0.0

David B/$/$/Mountain Lodge At Telluride - A Noble House Resort,0.0

David B/$/$/Holiday Inn Express - Harrisburg East,0.04

David B/$/$/Four Seasons Hotel St. Louis,0.0

David B/$/$/Narcis,0.0

David B/$/$/Homewood Suites By Hilton Indpls Airport / Plainfield In,0.0

David B/$/$/Hampton Inn Ft Chiswell,0.0

"Nancy D/$/$/The Alexandrian, Autograph Collection",0.0

"Hotel Monaco/$/$/The Alexandrian, Autograph Collection",0.5

"Roland/$/$/The Alexandrian, Autograph Collection",0.0

Roland/$/$/Fireside Inn Santa Cruz,0.0

Roland/$/$/Fairfield Inn and Suites By Marriott Idaho Falls,0.0

"Chi-mama/$/$/The Alexandrian, Autograph Collection",0.5

"PJ/$/$/The Alexandrian, Autograph Collection",0.09

"Therese/$/$/The Alexandrian, Autograph Collection",0.5

Therese/$/$/Hilton Garden Inn Austin Nw - Arboretum,0.18

Therese/$/$/Extended Stay America - Rockford - I-90,0.15

"Gregg/$/$/The Alexandrian, Autograph Collection",0.5

Gregg/$/$/Mccamly Plaza Hotel,0.0

Gregg/$/$/Campus Inn & Suites Eugene Downtown,0.02

Gregg/$/$/Comfort Suites,0.0

Gregg/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.0

Gregg/$/$/Hotel Eugne En Ville,0.0

"Celeste/$/$/The Alexandrian, Autograph Collection",0.5

Celeste/$/$/Best Western of Long Beach,0.18

Celeste/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.11

"Peter Babel/$/$/The Alexandrian, Autograph Collection",0.09

"DEZ/$/$/The Alexandrian, Autograph Collection",0.0

"Weekend Traveler/$/$/The Alexandrian, Autograph Collection",0.0

"drewmast/$/$/The Alexandrian, Autograph Collection",0.5

"C. Abramson/$/$/The Alexandrian, Autograph Collection",0.09

"Krystle/$/$/The Alexandrian, Autograph Collection",0.0

"HB/$/$/The Alexandrian, Autograph Collection",0.09

"Ray/$/$/The Alexandrian, Autograph Collection",0.5

Ray/$/$/Cherry Orchard Inn,0.13

Ray/$/$/Howard Johnson Inn - Newburgh,0.31

Ray/$/$/Country Inn and Suites By Carlson Galena,0.05

Ray/$/$/Radisson Blu Conference and Airport Hotel,0.09

Ray/$/$/Days Inn North Columbia Ft. Jackson,0.14

Ray/$/$/Mccamly Plaza Hotel,0.41

Ray/$/$/Fairfield Inn and Suites By Marriott Idaho Falls,0.23

"j/$/$/The Alexandrian, Autograph Collection",0.0

j/$/$/Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive,0.46

j/$/$/Holiday Inn Express Colton-riverside North,0.05

j/$/$/Americas Best Value Inn and Suites,0.09

j/$/$/Anaheim Marriott Suites,0.0

"Shaunna/$/$/The Alexandrian, Autograph Collection",0.09

"Amy N/$/$/The Alexandrian, Autograph Collection",0.0

"Miriam/$/$/The Alexandrian, Autograph Collection",0.04

Miriam/$/$/Hotel Roc Flamingo,0.08

Miriam/$/$/Fiesta Inn and Suites,0.16

Miriam/$/$/Hotel Eugne En Ville,0.07

"Breezy/$/$/The Alexandrian, Autograph Collection",0.0

"kathy/$/$/The Alexandrian, Autograph Collection",0.05

kathy/$/$/Comfort Inn Deland - Near University,0.12

"Kris/$/$/The Alexandrian, Autograph Collection",0.5

Kris/$/$/Extended Stay America - Rockford - I-90,0.04

Kris/$/$/Best Western Plus San Marcos Inn,0.02

Kris/$/$/Garden of The Gods Club & Resort,0.0

"Frank/$/$/The Alexandrian, Autograph Collection",0.0

Frank/$/$/Days Inn Bangor Airport,0.07

Frank/$/$/Plaza Hotel and Casino - Las Vegas,0.03

Frank/$/$/Tidewater Inn,0.04

Frank/$/$/Villa Carlotta,0.0

Frank/$/$/Days Inn West Memphis,0.05

Frank/$/$/Howard Johnson Inn - Newburgh,0.11

Frank/$/$/Hotel An Der Philharmonie,0.0

Frank/$/$/Innisbrook,0.05

Frank/$/$/Extended Stay America - Columbia - Northwest Harbison,0.04

Frank/$/$/Hampton Inn Tucson-airport,0.0

Frank/$/$/Hampton Inn & Suites-downtown-tutwiler,0.0

Frank/$/$/Super 8 - Effingham,0.03

Frank/$/$/Bayside Resort Hotel,0.03

Frank/$/$/Red Roof Inn Erie,0.0

Frank/$/$/Arizona Inn of Prescott Valley,0.07

Frank/$/$/Days Inn Lanham Washington Dc,0.03

Frank/$/$/Monarch Inn,0.1

Frank/$/$/Sportsmen's Lodge,0.06

Frank/$/$/Good Nite Inn Rohnert Park,0.02

Frank/$/$/Holiday Inn Express and Suites Gahanna/columbus Airport E,0.03

"Tyler/$/$/The Alexandrian, Autograph Collection",0.0

Tyler/$/$/Fairbridge Inn,0.08

Tyler/$/$/Residence Inn By Marriott Springdale,0.0

Tyler/$/$/Holiday Inn Express and Suites Gahanna/columbus Airport E,0.0

"Matt/$/$/The Alexandrian, Autograph Collection",0.0

Matt/$/$/Best Western Knoxville Suites,0.0

Matt/$/$/Hampton Inn Sarasota - I-75 Bee Ridge,0.0

Matt/$/$/Super 8 Fort Collins,0.02

Matt/$/$/Towneplace Suites Albany University Area,0.0

Matt/$/$/Quality Inn,0.03

Matt/$/$/Fiesta Inn and Suites,0.15

Matt/$/$/Comfort Inn Huntingdon,0.0

Matt/$/$/Econo Lodge Bellmawr,0.05

Matt/$/$/Anaheim Marriott Suites,0.0

Matt/$/$/Monarch Inn,0.07

Matt/$/$/Drury Inn and Suites Columbus Convention Center,0.0

Matt/$/$/Best Western Hartford Hotel & Suites,0.02

Matt/$/$/Casa Del Mar Inn Bandb,0.0

Matt/$/$/Holiday Inn Express & Suites Crossville,0.05

"S Hanlon/$/$/The Alexandrian, Autograph Collection",0.09

"Askew family/$/$/The Alexandrian, Autograph Collection",0.09

"Brenda/$/$/The Alexandrian, Autograph Collection",0.05

Brenda/$/$/Days Inn & Suites Castle Rock,0.12

Brenda/$/$/Super 8 Manhattan Ks,0.11

Brenda/$/$/Discovery Inn,0.12

Brenda/$/$/Americas Best Value Inn,0.1

Brenda/$/$/Pelican Shores Inn,0.0

Brenda/$/$/Lakeway Resort & Spa,0.02

Brenda/$/$/Hilton Santo Domingo,0.0

Brenda/$/$/Super 8 Schenect/albany Area,0.11

Brenda/$/$/Holiday Inn Express & Suites West Monroe,0.05

Brenda/$/$/Ip Casino Resort Spa,0.06

Brenda/$/$/Best Western Plus Kelly Inn,0.01

Brenda/$/$/Days Inn Fort Wayne,0.09

Brenda/$/$/Super 8 Batesville Ar,0.12

Brenda/$/$/Super 8 Kansas City Airport,0.16

Brenda/$/$/Dockers Inn,0.11

Brenda/$/$/Candlewood Suites Eugene Springfield,0.0

Brenda/$/$/Drury Inn and Suites Columbus Convention Center,0.0

"Rus/$/$/The Alexandrian, Autograph Collection",0.09

"JC/$/$/The Alexandrian, Autograph Collection",0.02

JC/$/$/Hampton Inn New Orleans - Downtown,0.03

JC/$/$/Warwick Denver,0.43

JC/$/$/City Express Irapuato,0.05

"Traveler/$/$/The Alexandrian, Autograph Collection",0.0

Traveler/$/$/Hilton Santo Domingo,0.0

Traveler/$/$/Howard Johnson Inn - Newburgh,0.31

Traveler/$/$/Hampton Inn Roanoke/salem,0.0

"Amy Mtn/$/$/The Alexandrian, Autograph Collection",0.09

"talman/$/$/The Alexandrian, Autograph Collection",0.09

"leales/$/$/The Alexandrian, Autograph Collection",0.09

"Kathleen A./$/$/The Alexandrian, Autograph Collection",0.0

"Tina R./$/$/The Alexandrian, Autograph Collection",0.09

"Karmic Vigilante/$/$/The Alexandrian, Autograph Collection",0.0

"Vicki/$/$/The Alexandrian, Autograph Collection",0.09

Vicki/$/$/Days Inn & Suites Castle Rock,0.18

Vicki/$/$/Super 8 Elko Nv,0.18

Vicki/$/$/Discovery Inn,0.18

Vicki/$/$/Americas Best Value Inn,0.16

Vicki/$/$/Pelican Shores Inn,0.0

Vicki/$/$/Homewood Suites - Mall of America,0.11

Vicki/$/$/Holiday Inn Express & Suites Phoenix Downtown - Ballpark,0.11

Vicki/$/$/Htel Les Bruyres,0.08

Vicki/$/$/Comfort Inn and Suites,0.12

"JOSEPH/$/$/The Alexandrian, Autograph Collection",0.09

"cb/$/$/The Alexandrian, Autograph Collection",0.09

"Lene/$/$/The Alexandrian, Autograph Collection",0.09

"The Campbell family/$/$/The Alexandrian, Autograph Collection",0.09

"Lydia & Michael/$/$/The Alexandrian, Autograph Collection",0.5

"Mr. M/$/$/The Alexandrian, Autograph Collection",0.0

"JJN/$/$/The Alexandrian, Autograph Collection",0.09

"LG/$/$/The Alexandrian, Autograph Collection",0.09

LG/$/$/Comfort Inn Livermore,0.21

"Lindsey/$/$/The Alexandrian, Autograph Collection",0.5

Lindsey/$/$/Warwick Denver,0.16

Lindsey/$/$/Lakeway Resort & Spa,0.08

Lindsey/$/$/Residence Inn By Marriott Fort Lauderdale Weston,0.12

Lindsey/$/$/Holiday Inn Express Hotel and Suites Meadowlands Area,0.17

"Terri/$/$/The Alexandrian, Autograph Collection",0.5

Terri/$/$/Vista Hotel On Lake Tarpon,0.12

Terri/$/$/Days Inn Bangor Airport,0.11

Terri/$/$/Sombrero Resort and Marina,0.13

Terri/$/$/Excellence Riviera Cancun - Adults Only - All Inclusive,0.07

Terri/$/$/Holiday Inn Express & Suites West Monroe,0.08

Terri/$/$/Super 8 - Effingham,0.06

Terri/$/$/Simpson House Inn,0.54

Terri/$/$/Clatskanie River Inn,0.03

Terri/$/$/Super 8 Fort Collins,0.09

"Anne/$/$/The Alexandrian, Autograph Collection",0.04

Anne/$/$/Hotel Relais De Margaux Golf and Spa,0.06

Anne/$/$/Hotel Vorbach,0.0

Anne/$/$/Palm Suites,0.09

Anne/$/$/Campanile Lyon Ecully,0.09

Anne/$/$/Inn At Mendenhall,0.12

Anne/$/$/Super 8 Belle Fourche,0.11

Anne/$/$/Holiday Inn Express - Hillsboro,0.1

Anne/$/$/Monterey Beach Dunes Inn,0.13

Anne/$/$/Comfort Inn Huntingdon,0.47

Anne/$/$/Best Western Hartford Hotel & Suites,0.07

"Redskins Scott/$/$/The Alexandrian, Autograph Collection",0.0

"June/$/$/The Alexandrian, Autograph Collection",0.5

June/$/$/Lakeway Resort & Spa,0.1

"Melissa W/$/$/The Alexandrian, Autograph Collection",0.0

"Ursula/$/$/The Alexandrian, Autograph Collection",0.35

Ursula/$/$/Hampton Inn Virginia Beach Oceanfront North,0.28

"Clay/$/$/The Alexandrian, Autograph Collection",0.0

"Ilene/$/$/The Alexandrian, Autograph Collection",0.09

"Roberta / Fabiana/$/$/The Alexandrian, Autograph Collection",0.5

"Nela/$/$/The Alexandrian, Autograph Collection",0.0

